features,location,price
 561 m²  345 m²  2 estac. ,"Mitad del Mundo, Quito",USD 160.000
 133 m²  133 m²  3 hab.  1 baño  1 estac. ,"Centro Norte, Quito",USD 78.000
 257 m²  200 m²  3 hab.  2 baños  1 estac. ,"Cumbayá, Quito",USD 280.000
 1295 m²  893 m²  5 hab.  4 estac. ,"Tumbaco, Quito",USD 1.700.000
 1900 m²  400 m²  4 hab.  4 baños  2 estac. ,"Carcelén, Quito",USD 365.000
 1810 m²  1277 m² ,"Cumbayá, Quito",USD 900.000
 1750 m²  500 m²  4 hab.  4 baños  7 estac. ,"Cumbayá, Quito",USD 875.000
 1000 m²  600 m²  3 hab.  4 baños ,"Norte de Quito, Quito",USD 700.000
 185 m²  185 m²  3 hab.  3 baños  2 estac. ,"Cumbayá, Quito",USD 282.000
 700 m²  460 m²  4 hab.  4 baños  3 estac. ,"Cumbayá, Quito",USD 630.000
 141 m²  141 m²  3 hab.  2 baños  2 estac. ,"Los Chillos, Quito",USD 119.990
 200 m²  200 m²  4 hab.  3 baños  2 estac. ,"La Armenia, Quito",USD 189.000
 527 m²  356 m²  4 hab.  4 baños  4 estac. ,"Ruta Viva, Quito",USD 465.000
 107 m²  107 m²  3 hab.  2 baños  1 estac. ,"Sangolqui, Quito",USD 89.000
 315 m²  4 hab.  5 baños  2 estac. ,"El Inca, Quito",USD 265.000
 2195 m²  929 m²  4 hab.  4 baños  6 estac. ,"Cumbayá, Quito",USD 2.500.000
 167 m²  148 m²  3 hab.  2 baños  1 estac. ,"Mitad del Mundo, Quito",USD 82.000
 120 m²  90 m²  3 hab.  3 baños  1 estac. ,"Quitumbe, Quito",USD 54.500
 1089 m²  400 m²  5 hab.  4 baños  3 estac. ,"Conocoto, Quito",USD 540.000
 360 m²  240 m²  4 hab.  2 baños  3 estac. ,"Los Chillos, Quito",USD 199.000
 285 m²  180 m²  3 hab.  2 baños  2 estac. ,"Cumbayá, Quito",USD 280.000
 200 m²  176 m²  4 hab.  3 baños  2 estac. ,"Cumbayá, Quito",USD 175.000
 321 m²  189 m²  4 hab.  4 baños ,"La Armenia, Quito",USD 189.000
 500 m²  460 m²  9 hab.  8 baños  5 estac. ,"Centro Norte, Quito",USD 1.999
 181 m²  135 m²  3 hab.  2 baños  1 estac. ,"Amagasí, Quito",USD 149.900
 215 m²  193 m²  4 hab.  3 baños  2 estac. ,"El Condado, Quito",USD 145.000
 480 m²  480 m²  4 hab.  3 baños  4 estac. ,"Puembo, Quito",USD 780.000
 124 m²  98 m²  3 hab.  2 baños  1 estac. ,"Llano Grande, Quito",USD 83.900
 135 m²  122 m²  3 hab.  2 baños  2 estac. ,"Tumbaco, Quito",USD 114.000
 248 m²  218 m²  3 hab.  4 baños  2 estac. ,"Miravalle, Quito",USD 296.000
 558 m²  558 m²  4 hab.  4 baños  6 estac. ,"Nayón - Tanda, Quito",USD 740.000
 765 m²  765 m²  4 hab.  6 baños  4 estac. ,"Cumbayá, Quito",USD 850.000
 236 m²  236 m²  3 hab.  3 baños  2 estac. ,"Tumbaco, Quito",USD 290.000
 177 m²  172 m²  3 hab.  2 baños  2 estac. ,"Tumbaco, Quito",USD 190.000
